순위,가수,노래
1,WSG워너비 (가야G),그때 그 순간 그대로 (그그그)
2,WSG워너비 (4FIRE),보고싶었어
3,IVE (아이브),LOVE DIVE
4,나연 (TWICE),POP!
5,싸이 (PSY),That That (prod. & feat. SUGA of BTS)
6,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM)
7,(여자)아이들,TOMBOY
8,aespa,Girls
9,임영웅,사랑은 늘 도망가
10,10CM,그라데이션
11,경서,나의 X에게
12,멜로망스,사랑인가 봐
13,임영웅,우리들의 블루스
14,WSG워너비 (오아시소),Clink Clink (클링 클링)
15,임영웅,다시 만날 수 있을까
16,ITZY (있지),SNEAKERS
17,볼빨간사춘기,Love story
18,BE'O (비오),LOVE me
19,LE SSERAFIM (르세라핌),FEARLESS
20,BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
21,임영웅,무지개
22,선미,열이올라요 (Heart Burn)
23,주호,내가 아니라도
24,임영웅,이제 나만 믿어요
25,"로꼬, 화사 (Hwa Sa)",Somebody!
26,김민석 (멜로망스),취중고백
27,임영웅,아버지
28,aespa,도깨비불 (Illusion)
29,임영웅,손이 참 곱던 그대
30,임영웅,A bientot
31,임영웅,사랑해 진짜
32,세븐틴,_WORLD
33,이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
34,임영웅,인생찬가
35,방탄소년단,Yet To Come
36,Red Velvet (레드벨벳),Feel My Rhythm
37,임영웅,연애편지
38,이무진,신호등
39,IVE (아이브),ELEVEN
40,임영웅,사랑역
41,"Charlie Puth, 정국, 방탄소년단",Left and Right (Feat. Jung Kook of BTS)
42,세븐틴,HOT
43,임영웅,보금자리
44,임영웅,사랑해요 그대를
45,"경서예지, 전건호",다정히 내 이름을 부르면
46,주시크 (Joosiq),아무래도 난
47,WINNER,I LOVE U
48,방탄소년단,Dynamite
49,(여자)아이들,MY BAG
50,케이시 (Kassy),사랑이야
51,케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워
52,박재범,GANADARA (Feat. 아이유)
53,"The Kid LAROI, Justin Bieber",STAY
54,aespa,Next Level
55,Charlie Puth,That's Hilarious
56,태연 (TAEYEON),INVU
57,다비치,팡파레
58,MSG워너비(M.O.M),듣고 싶을까
59,방탄소년단,Butter
60,#안녕,해요 (2022)
61,청하,Sparkling
62,성시경,너의 모든 순간
63,방탄소년단,Permission to Dance
64,태연 (TAEYEON),Weekend
65,주시크 (Joosiq),너를 생각해
66,임재현,고백하는 취한밤에 (Prod. 2soo)
67,STAYC(스테이씨),BEAUTIFUL MONSTER
68,세븐틴,Darl+ing
69,YENA (최예나),SMILEY (Feat. BIBI)
70,방탄소년단,봄날
71,아이유,내 손을 잡아
72,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
73,아이유,드라마
74,세븐틴,CHEERS
75,MSG워너비(M.O.M),바라만 본다
76,케이시 (Kassy),언제나 사랑해
77,세븐틴,돌고 돌아
78,헤이즈 (Heize),없었던 일로
79,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
80,OneRepublic,I Ain't Worried
81,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
82,제시 (Jessi),ZOOM
83,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
84,세븐틴,Fallin' Flower (Korean Ver.)
85,"Coldplay, 방탄소년단",My Universe
86,경서,밤하늘의 별을(2020)
87,아이유,strawberry moon
88,아이유,Celebrity
89,"지민, 하성운",With you
90,자우림,"스물다섯, 스물하나"
91,aespa,Savage
92,브레이브걸스,롤린 (Rollin')
93,V.O.S,미친 것처럼
94,Justin Bieber,Off My Face
95,주호,그 하루(feat.반하나)
96,BIG Naughty (서동현),"낭만교향곡 (Feat. CHANGMO, 박재범)"
97,아이유,라일락
98,BE'O (비오),문득
99,이무진,눈이 오잖아(Feat.헤이즈)
100,아이유,Blueming
