,제품명,가격
1,오븐구이 오리도시락,"6,900"
2,열무 감초고추장 비빔밥,"4,500"
3,열무 두부강된장 비빔밥,"4,900"
4,1993 왕돈까스 도시락,"9,300"
5,한입 족발 도시락,"8,500"
6,매화(순살 고등어 간장구이),"10,000"
7,진달래,"7,500"
8,개나리(순살 고등어 간장구이),"8,000"
9,돈까스도련님고기고기,"6,000"
10,탕수육도련님고기고기,"5,800"
11,새치 고기고기,"6,700"
12,돈치 고기고기,"5,800"
13,숯불직화구이,"6,500"
14,소불고기,"5,400"
15,메가치킨제육,"7,000"
16,칠리 찹쌀탕수육도련님,"4,200"
17,동백,"5,800"
18,치킨제육,"4,700"
19,돈까스도련님,"4,500"
20,제육볶음,"4,200"
21,돈치스팸 도시락,"4,900"
22,제육 김치찌개 정식,"8,200"
23,제육 김치 부대찌개 정식,"8,500"
24,돈치스팸 김치 부대찌개 정식,"8,500"
25,빅치킨마요 김치 부대찌개 정식,"7,500"
26,치킨마요 김치 부대찌개 정식,"6,900"
27,빅치킨마요 김치찌개 정식,"7,000"
28,치킨마요 김치찌개 정식,"6,500"
29,메가스팸마요,"5,600"
30,스팸마요,"3,700"
31,메가치킨마요,"5,800"
32,왕치킨마요,"4,800"
33,빅치킨마요,"4,100"
34,치킨마요,"3,500"
35,참치마요,"3,200"
36,돈치마요,"3,800"
37,돈까스 카레,"4,500"
38,스팸 김치볶음밥,"4,700"
39,김치볶음밥,"3,900"
40,스팸철판볶음밥,"4,500"
41,소불고기 철판볶음밥,"4,700"
42,나시고랭,"6,000"
43,묵은지 김치찌개,"4,500"
44,김치 부대찌개,"5,800"
45,숯불직화구이 덮밥,"5,900"
46,마파두부 덮밥,"5,000"
47,왕카레돈까스덮밥,"5,900"
48,새우돈까스 덮밥,"4,100"
49,돈까스 덮밥,"4,000"
50,소불고기 감초고추장 비빔밥,"5,200"
51,시골제육 두부강된장 비빔밥,"5,000"
52,참치야채 감초고추장,"3,300"
53,튼튼도시락,"5,000"
54,토네이도 소세지 파스타,"5,500"
55,트리플 치즈 파스타,"5,500"
56,토마토 미트 파스타,"4,500"
57,반찬 계란말이,"2,500"
58,반찬 묵은지김치찌개,"4,000"
59,반찬 카레,"2,800"
60,반찬 순살 고등어데리야끼,"3,600"
61,반찬 김치 부대찌개,"4,500"
62,반찬 치킨,"3,600"
63,반찬 고기고기,"3,400"
64,반찬 돈까스 도련님,"3,800"
65,반찬 제육볶음,"3,200"
66,반찬 토네이도 소세지,"2,600"
67,반찬 반달돈까스,"2,800"
68,뉴 감자고로케,"2,700"
69,미니 찹쌀핫도그,"2,500"
70,미니 찹쌀탕수육,"2,200"
71,케이준후라이,"1,700"
72,고메이 크림 고로케,"3,500"
73,후라이드 순살(소)_스리라차마요소스,"4,000"
74,후라이드 순살(중),"7,500"
75,후라이드 순살(소)_양념치킨소스,"4,000"
76,후라이드 순살(소)_케이준소스,"4,000"
77,오리지널 닭강정(중),"8,000"
78,오리지널 닭강정(소),"3,400"
79,무생채,400
80,열무김치,500
81,오징어젓갈,400
82,오이지무침,700
83,한솥 두부강된장소스,"1,800"
84,한솥 감초볶음고추장소스,500
85,볶음김치,400
86,김치,300
87,무말랭이 무침,300
88,한솥밥,"1,000"
89,현미밥,"1,700"
90,리얼 티라미수 찰떡,"1,500"
91,리얼꿀 미니호떡,"2,200"
