N,제목,현재가,거래량
1,KODEX 200선물인버스2X,"3,085","80,064,225"
2,금양,"8,430","37,476,568"
3,TYM,"2,620","30,106,174"
4,KODEX 인버스,"4,845","19,634,059"
5,신풍제지,"1,920","17,345,702"
6,KODEX 코스닥150선물인버스,"4,975","15,189,536"
7,신한 인버스 2X 천연가스 선물 ETN,175,"12,863,963"
8,무림페이퍼,"2,725","12,207,807"
9,현대로템,"25,400","10,482,347"
10,TRUE 인버스 2X 천연가스 선물 ETN(H),325,"10,129,743"
11,KODEX 레버리지,"15,290","9,643,448"
12,신한 인버스 2X 천연가스 선물 ETN(H),110,"8,024,198"
13,평화산업,"1,915","7,409,580"
14,대영포장,"1,790","6,868,065"
15,대한전선,"1,690","5,510,552"
16,삼성 인버스 2X WTI원유 선물 ETN,125,"5,379,440"
17,KODEX 코스닥150레버리지,"8,700","5,215,016"
18,두산에너빌리티,"17,750","4,126,956"
19,신한 인버스 2X WTI원유 선물 ETN(H),110,"3,399,272"
20,TIGER 원유선물인버스(H),"3,035","3,051,769"
21,삼성전자,"61,300","2,995,082"
22,TIGER 차이나전기차SOLACTIVE,"16,630","2,947,303"
23,아남전자,"2,710","2,861,840"
24,KODEX 단기채권,"103,475","2,745,014"
25,KODEX WTI원유선물인버스(H),"4,360","2,721,557"
26,무림P&P,"4,205","2,281,209"
27,일동제약,"37,100","2,221,476"
28,GS글로벌,"3,425","2,152,121"
29,코스모화학,"18,250","2,025,739"
30,삼성 블룸버그 레버리지 WTI원유 선물 ETN,"20,810","2,021,028"
31,제주은행,"5,670","1,965,212"
32,대우건설,"5,430","1,941,046"
33,부광약품,"9,680","1,918,641"
34,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"17,425","1,768,236"
35,팬오션,"5,620","1,767,903"
36,한창제지,"1,750","1,676,039"
37,인바이오젠,"2,530","1,630,498"
38,영풍제지,"7,560","1,484,503"
39,모나리자,"3,485","1,388,061"
40,깨끗한나라,"3,550","1,345,549"
41,한솔홈데코,"1,400","1,345,061"
42,KODEX 200,"31,995","1,341,319"
43,에이프로젠 MED,"1,525","1,327,525"
44,TIGER 200선물인버스2X,"3,230","1,317,391"
45,쌍방울,552,"1,313,343"
46,대호에이엘,"2,090","1,301,772"
47,한신기계,"8,720","1,292,886"
48,KODEX 단기채권PLUS,"103,770","1,263,540"
49,SH에너지화학,"1,010","1,252,901"
50,QV 인버스 레버리지 WTI원유 선물 ETN(H),100,"1,246,659"
51,유니온머티리얼,"2,500","1,242,390"
52,초록뱀헬스케어,963,"1,241,257"
53,KODEX 2차전지산업,"18,130","1,229,653"
54,우진,"12,300","1,199,871"
55,광명전기,"3,055","1,151,168"
56,페이퍼코리아,"1,720","1,041,265"
57,대성에너지,"11,300","1,028,550"
58,신일전자,"2,180","961,523"
59,TCC스틸,"14,250","942,615"
60,사조동아원,"1,410","930,063"
61,한국항공우주,"53,600","898,860"
62,KODEX 코스닥150,"11,160","897,300"
63,서울식품,254,"894,121"
64,TIGER KRX2차전지K-뉴딜,"13,395","879,660"
65,삼부토건,"1,990","873,046"
66,성안,674,"868,476"
67,삼성중공업,"5,420","838,262"
68,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,855","838,141"
69,삼성 레버리지 WTI원유 선물 ETN,"2,190","793,121"
70,우리금융지주,"11,850","767,038"
71,TIGER 2차전지테마,"18,270","751,095"
72,씨아이테크,"1,350","716,269"
73,성창기업지주,"2,085","713,153"
74,현대건설,"42,000","707,336"
75,진원생명과학,"13,750","666,799"
76,신한 레버리지 WTI원유 선물 ETN(H),"1,595","652,446"
77,한화투자증권,"3,390","642,918"
78,TIGER 코스닥150선물인버스,"5,095","631,485"
79,퍼스텍,"3,510","617,561"
80,NPC,"9,570","617,445"
81,후성,"17,550","615,922"
82,SK하이닉스,"100,500","613,894"
83,대원화성,"3,190","594,670"
84,보해양조,752,"589,584"
85,대동전자,"8,590","575,456"
86,와이투솔루션,656,"570,667"
87,대동,"12,600","557,955"
88,HMM,"24,100","554,012"
89,TRUE 인버스 2X 나스닥 100 ETN,"2,135","538,428"
90,일진디스플,"2,225","537,284"
91,하나금융지주,"35,800","533,062"
92,도화엔지니어링,"8,810","532,468"
93,포스코인터내셔널,"19,550","516,199"
94,웰바이오텍,"1,630","514,278"
95,한컴라이프케어,"5,610","511,991"
96,미래아이앤지,331,"493,506"
97,대한해운,"2,355","488,413"
98,신풍제약,"28,800","486,481"
99,현대약품,"5,640","482,056"
100,화신,"9,790","475,309"
